word	occu	freq-per-mill	usual	rank	racio
Fridays	1	344.23	4.10	243776	83.92
future	1	344.23	19.19	52116	17.94
LGBT	1	344.23	92.02	10865	3.74
queer	1	344.23	17.75	56339	19.39
aquilo	1	344.23	806.00	1238	0.43
influenciar	1	344.23	37.68	7848	9.14
decisão	1	344.23	1670.29	596	0.21
curso	1	344.23	2764.72	359	0.12
quiser	1	344.23	90.62	1361	3.80
sozinho	1	344.23	232.47	2934	1.48
nem	1	344.23	5473.45	180	0.06
pai	1	344.23	1802.78	552	0.19
dedicar-me	1	344.23	11.24	88988	30.63
abre-teir	1	344.23	3.66	OFV	94.01
mente	1	344.23	792.58	1259	0.43
diferentes	1	344.23	2952.47	336	0.12
perspetiva	1	344.23	23.95	22049	14.37
recatado	1	344.23	13.37	124449	25.74
pertence	1	344.23	61.03	4105	5.64
atualmente	1	344.23	791.95	1260	0.43
até	1	344.23	16207.46	59	0.02
(	1	344.23	46082.95	19	0.01
União	1	344.23	921.06	1083	0.37
Mulheres	1	344.23	2811.36	3819	0.12
Alternativa	1	344.23	417.76	23227	0.82
Resposta	1	344.23	1179.66	10628	0.29
)	1	344.23	50761.42	17	0.01
Fora	1	344.23	3042.29	4314	0.11
Antirracista	1	344.23	7.16	OFV	48.06
semanal	1	344.23	134.34	7360	2.56
maioritariamente	1	344.23	45.61	21920	7.55
vieste	1	344.23	10.70	93423	32.16
porquê	1	344.23	194.34	5143	1.77
Consegues	1	344.23	25.11	139641	13.71
nessa	1	344.23	1196.60	833	0.29
propriamente	1	344.23	146.42	6827	2.35
aumentar	1	344.23	15.97	1177	21.56
caso	1	344.23	6635.70	148	0.05
núcleo	1	344.23	218.55	4573	1.58
liguar	1	344.23	56.80	OFV	6.06
revezarem	1	344.23	1.00	353928	344.24
maioria	1	344.23	2360.16	421	0.15
fora	1	344.23	3042.29	326	0.11
valente	1	344.23	24.68	24620	13.95
surgir	1	344.23	82.02	5402	4.20
organicamente	1	344.23	15.71	63631	21.90
fácil	1	344.23	1977.46	503	0.17
oficializar	1	344.23	27.26	36680	12.63
Instagram	1	344.23	306.12	3264	1.12
promover	1	344.23	660.63	1511	0.52
questão	1	344.23	1913.14	520	0.18
Começas	1	344.23	10.67	271471	32.27
camada	1	344.23	210.19	3917	1.64
opressão	1	344.23	73.64	13577	4.67
funcionar	1	344.23	712.40	3116	0.48
politizado	1	344.23	11.10	80291	31.00
acabas	1	344.23	8.26	121110	41.69
queres	1	344.23	66.99	14924	5.14
envolvir	1	344.23	108.58	OFV	3.17
costumar	1	344.23	251.59	127003	1.37
dia-a-dia	1	344.23	200.05	4996	1.72
costumas	1	344.23	6.50	153956	53.00
participação	1	344.23	1637.47	608	0.21
WhatsApp	1	344.23	173.38	5765	1.99
Vou	1	344.23	2119.99	2557	0.16
sincero	1	344.23	80.67	11526	4.27
consiger	1	344.23	587.99	OFV	0.59
acompanhar	1	344.23	555.96	1796	0.62
necessário	1	344.23	521.19	446	0.66
responder	1	344.23	502.59	1987	0.68
medida	1	344.23	1259.92	791	0.27
possível	1	344.23	4411.12	224	0.08
tento	1	344.23	119.52	8364	2.88
preparar	1	344.23	383.63	2604	0.90
fim	1	344.23	538.01	236	0.64
semana	1	344.23	724.27	286	0.48
livre	1	344.23	1295.84	769	0.27
direcionar	1	344.23	68.99	14492	4.99
local	1	344.23	4004.81	247	0.09
oportunidade	1	344.23	1376.08	724	0.25
interesse	1	344.23	1294.16	770	0.27
Existe	1	344.23	1880.76	3770	0.18
tenhas	1	344.23	41.13	24311	8.37
lembr	1	344.23	5.70	OFV	60.42
passado	1	344.23	2477.09	401	0.14
recente	1	344.23	565.07	1767	0.61
amiga	1	344.23	538.88	1853	0.64
perguntar	1	344.23	220.23	4538	1.56
poder	1	344.23	531.72	275	0.65
claro	1	344.23	1667.50	597	0.21
espera	1	344.23	673.99	1481	0.51
quisesse	1	344.23	90.62	11033	3.80
tão	1	344.23	4593.48	215	0.07
visceral	1	344.23	37.13	26931	9.27
estreitar	1	344.23	39.47	25330	8.72
oferecer-me	1	344.23	4.89	204588	70.43
quatro	1	344.23	2787.84	356	0.12
dar-me	1	344.23	19.20	52069	17.92
senter	1	344.23	184.58	OFV	1.86
literalmente	1	344.23	174.74	5720	1.97
morte	1	344.23	1799.53	553	0.19
emocionante	1	344.23	143.38	6972	2.40
há	1	344.23	8568.98	114	0.04
os	1	344.23	48309.18	18	0.01
sanar	1	344.23	55.88	17894	6.16
saudade	1	344.23	166.65	5998	2.07
voltar	1	344.23	914.33	1091	0.38
Portugal	1	344.23	2147.31	463	0.16
pergunta	1	344.23	597.48	1671	0.58
trouxeste	1	344.23	5.83	171566	59.06
significado	1	344.23	369.45	2704	0.93
enroladinho	1	344.23	6.94	144125	49.61
usá-lo	1	344.23	80.04	12491	4.30
calor	1	344.23	495.12	2017	0.70
antiguinho	1	344.23	6.48	154301	53.12
frágil	1	344.23	102.20	9782	3.37
Masha	1	344.23	10.46	95606	32.91
tinha-me	1	344.23	9.24	108243	37.26
guardar	1	344.23	82.31	4859	4.18
casa	1	344.23	6910.85	142	0.05
fui-lhe	1	344.23	2.27	441491	151.98
fotografia	1	344.23	238.79	2600	1.44
mostrar	1	344.23	941.89	1059	0.37
fronteira	1	344.23	172.01	3783	2.00
símbolo	1	344.23	271.10	3686	1.27
correto	1	344.23	289.46	3452	1.19
certo	1	344.23	1737.02	573	0.20
fez-me	1	344.23	29.05	34419	11.85
reparar	1	344.23	94.46	10584	3.64
deal-breaker	1	344.23	1.00	OFV	344.24
revelar	1	344.23	124.94	5526	2.76
realmente	1	344.23	1942.88	512	0.18
povo	1	344.23	313.61	720	1.10
interseccional	1	344.23	5.30	188839	65.01
lado	1	344.23	4430.66	223	0.08
certos	1	344.23	348.23	2869	0.99
enfrentaste	1	344.23	1.00	OFV	344.24
dificuldade	1	344.23	700.92	1647	0.49
ultrapassaste	1	344.23	1.00	OFV	344.24
si	1	344.23	1806.03	551	0.19
Tenta-se	1	344.23	11.28	173546	30.52
horizontal	1	344.23	116.35	8592	2.96
autónomo	1	344.23	61.22	42001	5.62
autogerir	1	344.23	4.71	212364	73.10
acarretar	1	344.23	49.78	19365	6.91
personalidade	1	344.23	153.69	2482	2.24
vista	1	344.23	1825.82	545	0.19
diferença	1	344.23	374.43	927	0.92
geracional	1	344.23	13.98	71524	24.62
complicar	1	344.23	215.67	24424	1.60
emoção	1	344.23	294.23	3986	1.17
direção	1	344.23	1120.20	890	0.31
comum	1	344.23	1548.71	643	0.22
desgastante	1	344.23	11.58	35654	29.73
manifesto	1	344.23	80.29	12452	4.29
desgastar	1	344.23	16.07	48043	21.42
emocionalmente	1	344.23	60.50	16527	5.69
psicologicamente	1	344.23	39.04	25610	8.82
levar	1	344.23	862.29	714	0.40
burnout	1	344.23	14.13	70759	24.36
derivar	1	344.23	78.98	50727	4.36
real	1	344.23	1447.81	688	0.24
amig	1	344.23	240.75	280307	1.43
afastar	1	344.23	148.48	6732	2.32
durante	1	344.23	6506.18	151	0.05
lidar	1	344.23	390.82	2556	0.88
connosco	1	344.23	86.73	11527	3.97
companheira	1	344.23	34.85	10759	9.88
bom	1	344.23	8285.00	216	0.04
fator	1	344.23	623.95	2635	0.55
externo	1	344.23	171.98	3769	2.00
confronto	1	344.23	219.84	4546	1.57
direto	1	344.23	543.27	1838	0.63
concreto	1	344.23	265.20	3768	1.30
cabeça	1	344.23	1425.11	699	0.24
contramanifestação	1	344.23	1.00	OFV	344.24
Guimarães	1	344.23	219.70	4549	1.57
Houve	1	344.23	850.56	5768	0.40
fascista	1	344.23	53.17	18804	6.47
1143	1	344.23	8.28	120825	41.59
sente	1	344.23	21.79	2590	15.80
desamparar	1	344.23	12.65	277032	27.20
agente	1	344.23	519.02	2634	0.66
policial	1	344.23	503.85	2597	0.68
apontar	1	344.23	128.18	7799	2.69
arma	1	344.23	361.31	2765	0.95
ali	1	344.23	997.31	1000	0.35
paz	1	344.23	701.90	1422	0.49
música	1	344.23	2585.98	384	0.13
cantar	1	344.23	200.61	4982	1.72
Grândola	1	344.23	18.61	53732	18.50
Vila	1	344.23	825.97	1208	0.42
Morena	1	344.23	142.01	16479	2.42
realidade	1	344.23	1421.06	701	0.24
forte	1	344.23	1608.49	619	0.21
fase	1	344.23	1435.34	694	0.24
nunca	1	344.23	3653.64	271	0.09
época	1	344.23	2111.04	471	0.16
viragem	1	344.23	27.62	36201	12.46
unido	1	344.23	52.94	18854	6.50
quantas	1	344.23	190.41	5249	1.81
formos	1	344.23	52.67	18985	6.54
força	1	344.23	1707.36	583	0.20
contra	1	344.23	5724.10	172	0.06
utópico	1	344.23	17.79	43659	19.35
dir	1	344.23	164.27	43610	2.10
realista	1	344.23	94.29	10603	3.65
cada	1	344.23	9372.07	104	0.04
unânime	1	344.23	67.95	14713	5.07
essencial	1	344.23	540.04	1849	0.64
imaginar	1	344.23	264.57	3777	1.30
abril	1	344.23	1193.74	835	0.29
revolução	1	344.23	47.09	4025	7.31
pouco	1	344.23	5414.19	182	0.06
virar	1	344.23	216.14	4624	1.59
rever	1	344.23	3.56	7515	96.73
orgulho	1	344.23	276.65	3612	1.24
conceptualização	1	344.23	7.05	141809	48.82
desocupar	1	344.23	11.28	78807	30.52
hippies	1	344.23	18.30	54633	18.81
distópico	1	344.23	10.57	66333	32.58
verdade	1	344.23	2909.51	341	0.12
dinâmica	1	344.23	99.61	3421	3.46
relacional	1	344.23	24.20	28372	14.22
qualquer	1	344.23	7369.20	133	0.05
louvar	1	344.23	36.65	27284	9.39
Gostava	1	344.23	194.11	21711	1.77
sentisse	1	344.23	32.28	30975	10.66
…	1	344.23	7892.66	124	0.04
obrigação	1	344.23	287.30	3478	1.20
juntar	1	344.23	205.60	4861	1.67
celebração	1	344.23	70.97	4603	4.85
Abril	1	344.23	1193.74	2223	0.29
dever	1	344.23	216.42	3803	1.59
daria	1	344.23	2.86	7203	120.18
grande	1	344.23	7315.29	116	0.05
circuito	1	344.23	102.35	3898	3.36
diário	1	344.23	134.96	3558	2.55
faz	1	344.23	42.50	188	8.10
conexão	1	344.23	141.53	2924	2.43
vives	1	344.23	12.48	80122	27.58
atento	1	344.23	219.99	4543	1.56
àquele	1	344.23	105.03	12863	3.28
lugar	1	344.23	846.24	221	0.41
frequentar	1	344.23	18.26	11103	18.85
debate	1	344.23	508.72	1963	0.68
café	1	344.23	757.75	1317	0.45
estivemos	1	344.23	54.89	18217	6.27
confortável	1	344.23	143.27	2571	2.40
estarmos	1	344.23	88.46	11302	3.89
