palavra,lema,pos,entidade,dependencia,ranking
por,por,SCONJ,-,mark,22
falar,falar,VERB,-,ROOT,409
no,em o,ADP,-,case,16
nosso,nosso,DET,-,det,173
encontro,encontro,NOUN,-,obj,881
presencial,presencial,ADJ,-,amod,9107
",",",",PUNCT,-,punct,0
o,o,PRON,-,appos,6
que,que,PRON,-,obj,7
você,você,PRON,-,nsubj,54
mais,mais,ADV,-,advmod,25
esperava,esperar,VERB,-,acl:relcl,4774
desse,desse,ADP,-,case,412
nosso,nosso,DET,-,det,173
primeiro,primeiro,ADJ,-,amod,153
encontro,encontro,NOUN,-,obl,881
?,?,PUNCT,-,punct,49
Entrevistada,Entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Eu,eu,PRON,-,nsubj,171
esperava,esperar,VERB,-,ROOT,4774
que,que,SCONJ,-,mark,7
fosse,ser,VERB,-,ccomp,654
como,como,ADP,-,case,29
nas,em o,ADP,-,case,78
nossas,nosso,DET,-,det,659
conversas,conversa,NOUN,-,obl,4833
.,.,PUNCT,-,punct,3
Que,que,SCONJ,-,mark,580
tivéssemos,tivéssemos,VERB,-,ROOT,18659
uma,um,DET,-,det,15
boa,bom,ADJ,-,amod,297
sintonia,sintonia,NOUN,-,obj,10070
",",",",PUNCT,-,punct,0
que,que,SCONJ,-,mark,7
você,você,PRON,-,nsubj,54
fosse,ser,AUX,-,cop,654
realmente,realmente,ADV,-,advmod,512
você,você,PRON,-,acl:relcl,54
",",",",PUNCT,-,punct,0
e,e,CCONJ,-,cc,4
que,que,PRON,-,mark,7
da,de o,ADP,-,case,9
mesma,mesmo,ADJ,-,amod,277
forma,forma,NOUN,-,nmod,94
que,que,PRON,-,mark,7
eu,eu,PRON,-,nsubj,63
já,já,ADV,-,advmod,57
tinha,ter,VERB,-,acl:relcl,203
um,um,DET,-,det,13
sentimento,sentimento,NOUN,-,obj,2432
",",",",PUNCT,-,punct,0
que,que,SCONJ,-,mark,7
você,você,PRON,-,nsubj,54
sentisse,sentisse,VERB,-,conj,30975
o,o,DET,-,det,6
mesmo,mesmo,PRON,-,obj,66
ao,a o,PRON,-,obj,32
me,eu,PRON,-,obj,86
ver,ver,VERB,-,advcl,197
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,-,ROOT,384736
:,:,PUNCT,-,punct,27
Você,você,PRON,-,nsubj,268
ficou,ficar,VERB,-,ROOT,420
nervosa,nervoso,ADJ,-,xcomp,14178
antes,antes,ADV,-,advmod,181
do,de o,ADP,-,case,8
nosso,nosso,DET,-,det,173
primeiro,primeiro,ADJ,-,amod,153
encontro,encontro,NOUN,-,obl,881
?,?,PUNCT,-,punct,49
E,e,CCONJ,-,cc,79
quando,quando,ADV,-,advmod,71
você,você,PRON,-,nsubj,54
me,eu,PRON,-,obj,86
viu,ver,VERB,-,ROOT,1497
pela,por o,ADP,-,case,51
primeira,primeira,ADP,-,case,166
vez,vez,NOUN,-,obl,108
",",",",PUNCT,-,punct,0
o,o,PRON,-,appos,6
que,que,PRON,-,obj,7
você,você,PRON,-,nsubj,54
sentiu,sentir,VERB,-,acl:relcl,6123
?,?,PUNCT,-,punct,49
Entrevistada,Entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Eu,eu,PRON,-,nsubj,171
fiquei,fiqueer,VERB,-,ROOT,1509
muito,muito,ADV,-,advmod,50
nervosa,nervoso,ADJ,-,xcomp,14178
e,e,CCONJ,-,cc,4
ansiosa,ansioso,ADJ,-,conj,10450
.,.,PUNCT,-,punct,3
Ainda,ainda,ADV,-,advmod,519
mais,mais,ADV,-,advmod,25
quando,quando,ADV,-,mark,71
eu,eu,PRON,-,nsubj,63
saí,saí,VERB,-,advcl,11999
do,de o,ADP,-,case,8
desembarque,desembarque,NOUN,-,obl,15599
",",",",PUNCT,-,punct,0
você,você,PRON,-,nsubj,54
estava,estar,AUX,-,aux,169
me,eu,PRON,-,obj,86
esperando,esperar,VERB,-,ROOT,3229
na,em o,ADP,-,case,20
porta,porta,NOUN,-,obl,1124
errada,errar,VERB,-,acl,6762
.,.,PUNCT,-,punct,3
Por,por,ADP,-,case,156
um,um,NUM,-,nummod,13
segundo,segundo,ADJ,-,obl,205
",",",",PUNCT,-,punct,0
achei,achar,VERB,-,ROOT,1803
que,que,SCONJ,-,mark,7
não,não,ADV,-,advmod,21
fosse,ser,AUX,-,aux,654
me,eu,PRON,-,obj,86
encontrar,encontrar,VERB,-,ccomp,497
",",",",PUNCT,-,punct,0
mas,mas,CCONJ,-,cc,44
depois,depois,ADV,-,advmod,136
nos,nós,PRON,-,obj,53
encontramos,encontrar,VERB,-,conj,4104
.,.,PUNCT,-,punct,3
E,e,CCONJ,-,cc,79
te,te,PRON,-,nsubj,398
ver,ver,VERB,-,csubj,197
vindo,vir,VERB,-,xcomp,2565
na,em o,ADP,-,case,20
minha,meu,DET,-,det,132
direção,direção,NOUN,-,obl,890
foi,ser,AUX,-,cop,35
algo,algo,PRON,-,ROOT,284
surreal,surreal,ADJ,-,amod,23249
e,e,CCONJ,-,cc,4
mágico,mágico,ADJ,-,conj,7145
.,.,PUNCT,-,punct,3
A,o,DET,-,det,31
sensação,sensação,NOUN,-,nsubj,1753
depois,depois,ADV,-,advmod,136
disso,de isso,PRON,-,nmod,273
é,ser,AUX,-,discourse,14
que,que,SCONJ,-,mark,7
todo,todo,DET,-,det,131
o,o,DET,-,det,6
tempo,tempo,NOUN,-,nsubj,85
longe,longe,ADV,-,advmod,1223
valeu,valer,VERB,-,ROOT,7725
a,o,DET,-,det,5
pena,pena,NOUN,-,obj,752
.,.,PUNCT,-,punct,3
Era,ser,AUX,-,cop,1387
uma,um,DET,-,det,15
sensação,sensação,NOUN,-,ROOT,1753
de,de,ADP,-,case,2
paz,paz,NOUN,-,nmod,1422
",",",",PUNCT,-,punct,0
